mach,CD Power-Off
9.06,0.111821817
9.07,0.111747269
9.08,0.111672922
9.09,0.111598763
9.1,0.111524781
9.11,0.11145099
9.12,0.111377382
9.13,0.111303966
9.14,0.111230736
9.15,0.111157681
9.16,0.111084807
9.17,0.111012127
9.18,0.11093963
9.19,0.110867307
9.2,0.110795174
9.21,0.110723203
9.22,0.110651433
9.23,0.110579839
9.24,0.11050841
9.25,0.110437167
9.26,0.110366098
9.27,0.110295214
9.28,0.110224505
9.29,0.110153973
9.3,0.1100836
9.31,0.110013411
9.32,0.109943408
9.33,0.109873567
9.34,0.109803884
9.35,0.109734392
9.36,0.109665063
9.37,0.109595916
9.38,0.109526929
9.39,0.109458107
9.4,0.109389471
9.41,0.109320997
9.42,0.109252682
9.43,0.10918453
9.44,0.109116561
9.45,0.109048752
9.46,0.108981111
9.47,0.108913635
9.48,0.10884631
9.49,0.108779164
9.5,0.108712184
9.51,0.108645345
9.52,0.108578685
9.53,0.108512174
9.54,0.108445845
9.55,0.108379667
9.56,0.108313649
9.57,0.108247784
9.58,0.108182088
9.59,0.108116546
9.6,0.108051162
9.61,0.107985935
9.62,0.107920863
9.63,0.107855951
9.64,0.107791194
9.65,0.107726591
9.66,0.107662147
9.67,0.107597849
9.68,0.107533717
9.69,0.10746973
9.7,0.10740589
9.71,0.107342211
9.72,0.107278689
9.73,0.107215311
9.74,0.107152074
9.75,0.107088994
9.76,0.107026071
9.77,0.106963292
9.78,0.106900671
9.79,0.106838178
9.8,0.10677585
9.81,0.106713672
9.82,0.106651634
9.83,0.106589736
9.84,0.106527996
9.85,0.106466395
9.86,0.10640494
9.87,0.106343631
9.88,0.106282453
9.89,0.106221429
9.9,0.106160559
9.91,0.106099816
9.92,0.10603921
9.93,0.105978755
9.94,0.105918454
9.95,0.105858279
9.96,0.105798247
9.97,0.105738347
9.98,0.1056786
9.99,0.105618983
10,0.10555951
10.01,0.105537762
10.02,0.105513919
10.03,0.105490144
10.04,0.105466413
10.05,0.105442735
10.06,0.10541911
10.07,0.105395536
10.08,0.105372024
10.09,0.105348556
10.1,0.105325157
10.11,0.105301791
10.12,0.105278497
10.13,0.105255243
10.14,0.105232058
10.15,0.105208905
10.16,0.105185817
10.17,0.10516278
10.18,0.105139795
10.19,0.105116862
10.2,0.105093982
10.21,0.10507115
10.22,0.105048359
10.23,0.105025637
10.24,0.105002947
10.25,0.104980331
10.26,0.104957749
10.27,0.104935225
10.28,0.104912744
10.29,0.104890322
10.3,0.104867946
10.31,0.104845624
10.32,0.104823348
10.33,0.104801121
10.34,0.104778947
10.35,0.104756815
10.36,0.104734739
10.37,0.104712705
10.38,0.104690732
10.39,0.104668792
10.4,0.104646906
10.41,0.10462508
10.42,0.104603276
10.43,0.104581546
10.44,0.104559852
10.45,0.104538213
10.46,0.104516604
10.47,0.10449505
10.48,0.104473553
10.49,0.104452107
10.5,0.104430699
10.51,0.104409317
10.52,0.10438801
10.53,0.104366738
10.54,0.104345517
10.55,0.10432434
10.56,0.10430321
10.57,0.104282125
10.58,0.104261084
10.59,0.10424008
10.6,0.104219136
10.61,0.104198232
10.62,0.104177375
10.63,0.104156567
10.64,0.104135787
10.65,0.104115061
10.66,0.104094387
10.67,0.104073763
10.68,0.104053153
10.69,0.104032607
10.7,0.104012116
10.71,0.10399165
10.72,0.10397123
10.73,0.103950855
10.74,0.103930537
10.75,0.10391025
10.76,0.103889999
10.77,0.103869796
10.78,0.103849639
10.79,0.103829526
10.8,0.103809451
10.81,0.103789424
10.82,0.103769437
10.83,0.103749485
10.84,0.10372958
10.85,0.103709721
10.86,0.103689904
10.87,0.103670125
10.88,0.103650393
10.89,0.10363069
10.9,0.103611039
10.91,0.103591426
10.92,0.103571854
10.93,0.103552328
10.94,0.103532835
10.95,0.103513372
10.96,0.103493974
10.97,0.1034746
10.98,0.103455281
10.99,0.10343598
11,0.103416723
11.01,0.103397527
11.02,0.103378353
11.03,0.103359223
11.04,0.103340138
11.05,0.103321081
11.06,0.103302067
11.07,0.103283101
11.08,0.103264166
11.09,0.103245266
11.1,0.103226417
11.11,0.103207592
11.12,0.103188812
11.13,0.103170074
11.14,0.10315137
11.15,0.103132707
11.16,0.103114087
11.17,0.10309549
11.18,0.103076944
11.19,0.103058425
11.2,0.103039954
11.21,0.103021514
11.22,0.103003107
11.23,0.102984746
11.24,0.102966426
11.25,0.102948139
11.26,0.102929882
11.27,0.102911668
11.28,0.102893488
11.29,0.102875346
11.3,0.102857239
11.31,0.102839168
11.32,0.102821134
11.33,0.102803139
11.34,0.102785182
11.35,0.102767253
11.36,0.102749362
11.37,0.102731504
11.38,0.102713689
11.39,0.102695908
11.4,0.102678157
11.41,0.102660441
11.42,0.102642764
11.43,0.102625117
11.44,0.102607516
11.45,0.102589943
11.46,0.102572412
11.47,0.102554904
11.48,0.10253744
11.49,0.102520001
11.5,0.102502594
11.51,0.102485234
11.52,0.102467912
11.53,0.102450604
11.54,0.102433345
11.55,0.102416114
11.56,0.102398916
11.57,0.102381754
11.58,0.102364625
11.59,0.102347532
11.6,0.102330465
11.61,0.102313447
11.62,0.102296445
11.63,0.102279487
11.64,0.102262556
11.65,0.102245659
11.66,0.102228795
11.67,0.102211948
11.68,0.102195165
11.69,0.102178394
11.7,0.102161661
11.71,0.102144958
11.72,0.102128288
11.73,0.102111657
11.74,0.102095054
11.75,0.102078479
11.76,0.102061928
11.77,0.10204542
11.78,0.102028949
11.79,0.102012498
11.8,0.101996086
11.81,0.101979694
11.82,0.101963343
11.83,0.10194703
