mach,CD Power-On
5.01,0.169896329
5.02,0.169580782
5.03,0.169266123
5.04,0.168952377
5.05,0.168639499
5.06,0.1683275
5.07,0.16801636
5.08,0.167706058
5.09,0.167396614
5.1,0.167087992
5.11,0.166780203
5.12,0.166473222
5.13,0.166167057
5.14,0.165861688
5.15,0.165557103
5.16,0.165253315
5.17,0.164950275
5.18,0.164648007
5.19,0.164346499
5.2,0.164045721
5.21,0.163745683
5.22,0.163446377
5.23,0.163147776
5.24,0.162849902
5.25,0.162552721
5.26,0.162256224
5.27,0.161960419
5.28,0.161665277
5.29,0.16137081
5.3,0.161076992
5.31,0.160783827
5.32,0.160491292
5.33,0.1601994
5.34,0.159908118
5.35,0.159617452
5.36,0.159327404
5.37,0.159037928
5.38,0.158749053
5.39,0.158460754
5.4,0.158173025
5.41,0.157885858
5.42,0.157599243
5.43,0.157313176
5.44,0.157027647
5.45,0.156742634
5.46,0.156458154
5.47,0.156174174
5.48,0.155890703
5.49,0.155607729
5.5,0.155325231
5.51,0.155043217
5.52,0.154761664
5.53,0.154480586
5.54,0.154199958
5.55,0.153919767
5.56,0.153640019
5.57,0.153360689
5.58,0.15308178
5.59,0.152803283
5.6,0.152525204
5.61,0.1522475
5.62,0.151970202
5.63,0.151693269
5.64,0.151416704
5.65,0.151140511
5.66,0.150864669
5.67,0.150589169
5.68,0.150314011
5.69,0.15003918
5.7,0.149764669
5.71,0.149490486
5.72,0.149216607
5.73,0.148943012
5.74,0.148669712
5.75,0.148396689
5.76,0.148123958
5.77,0.147851479
5.78,0.147579252
5.79,0.147307288
5.8,0.147035566
5.81,0.146764075
5.82,0.146493833
5.83,0.146292191
5.84,0.146090506
5.85,0.145888777
5.86,0.145686987
5.87,0.145485154
5.88,0.145283243
5.89,0.145081262
5.9,0.144879203
5.91,0.144677066
5.92,0.144474831
5.93,0.144272492
5.94,0.144070054
5.95,0.143867503
5.96,0.143664836
5.97,0.14346205
5.98,0.143259132
5.99,0.143056061
6,0.142852871
6.01,0.142667178
6.02,0.14250173
6.03,0.142336567
6.04,0.142171681
6.05,0.142007099
6.06,0.141842786
6.07,0.141678772
6.08,0.141515026
6.09,0.141351577
6.1,0.141188399
6.11,0.141025507
6.12,0.140862895
6.13,0.140700561
6.14,0.140538506
6.15,0.140376727
6.16,0.140215215
6.17,0.140053989
6.18,0.13989303
6.19,0.139732347
6.2,0.139571929
6.21,0.139411793
6.22,0.13925192
6.23,0.139092317
6.24,0.138932992
6.25,0.138773929
6.26,0.138615119
6.27,0.138456585
6.28,0.138298318
6.29,0.138140318
6.3,0.137982579
6.31,0.137825094
6.32,0.137667869
6.33,0.137510914
6.34,0.137354209
6.35,0.137197763
6.36,0.137041596
6.37,0.136885664
6.38,0.136729995
6.39,0.136574583
6.4,0.136419406
6.41,0.1362645
6.42,0.13610984
6.43,0.135955449
6.44,0.135801281
6.45,0.135647391
6.46,0.135493722
6.47,0.135340324
6.48,0.135187158
6.49,0.135034252
6.5,0.134881578
6.51,0.134729146
6.52,0.134576972
6.53,0.134425036
6.54,0.13427335
6.55,0.134121891
6.56,0.133970686
6.57,0.133819705
6.58,0.133668972
6.59,0.133518484
6.6,0.133368221
6.61,0.133218201
6.62,0.133068416
6.63,0.132918879
6.64,0.132769554
6.65,0.132620473
6.66,0.132471618
6.67,0.132323009
6.68,0.13217462
6.69,0.132026464
6.7,0.131878543
6.71,0.13173083
6.72,0.131583368
6.73,0.13143612
6.74,0.131289116
6.75,0.131142329
6.76,0.130995755
6.77,0.130849404
6.78,0.130703289
6.79,0.130557394
6.8,0.130411721
6.81,0.130266263
6.82,0.130121029
6.83,0.129976027
6.84,0.129831222
6.85,0.129686644
6.86,0.12954229
6.87,0.129398143
6.88,0.129254215
6.89,0.129110508
6.9,0.128967012
6.91,0.128823725
6.92,0.128680657
6.93,0.128537798
6.94,0.128395157
6.95,0.128252723
6.96,0.12811049
6.97,0.127968475
6.98,0.127826661
6.99,0.127685071
7,0.127552325
7.01,0.12743774
7.02,0.127323497
7.03,0.127209586
7.04,0.127096021
7.05,0.126982783
7.06,0.126869887
7.07,0.126757326
7.08,0.12664508
7.09,0.12653319
7.1,0.126421613
